cenario,classe,ids,n,taxa_det,det_ic95_low,det_ic95_high,taxa_erro_classif,taxa_fn_puro,taxa_fp,alertas_media,alertas_dp
benigno-dns,benigno,snort,15,,,,,,0.000,0.000,0.000
benigno-dns,benigno,suricata,15,,,,,,0.000,0.000,0.000
benigno-dns,benigno,zeek,15,,,,,,0.067,0.067,0.258
benigno-http,benigno,snort,15,,,,,,0.000,0.000,0.000
benigno-http,benigno,suricata,15,,,,,,0.000,0.000,0.000
benigno-http,benigno,zeek,15,,,,,,0.067,3.600,13.943
benigno-icmp,benigno,snort,15,,,,,,0.000,0.000,0.000
benigno-icmp,benigno,suricata,15,,,,,,0.000,0.000,0.000
benigno-icmp,benigno,zeek,15,,,,,,0.067,0.200,0.775
benigno-mix,benigno,snort,15,,,,,,0.000,0.000,0.000
benigno-mix,benigno,suricata,15,,,,,,0.000,0.000,0.000
benigno-mix,benigno,zeek,15,,,,,,0.200,1.933,4.148
benigno-scan,benigno,snort,15,,,,,,0.000,0.000,0.000
benigno-scan,benigno,suricata,15,,,,,,0.000,0.000,0.000
benigno-scan,benigno,zeek,15,,,,,,0.133,0.133,0.352
benigno-ssh,benigno,snort,15,,,,,,0.000,0.000,0.000
benigno-ssh,benigno,suricata,15,,,,,,0.000,0.000,0.000
benigno-ssh,benigno,zeek,15,,,,,,0.000,0.000,0.000
dns-tunneling,malicioso,snort,15,0.267,0.109,0.520,0.000,0.733,,14.000,24.051
dns-tunneling,malicioso,suricata,15,1.000,0.796,1.000,0.000,0.000,,204.000,0.000
dns-tunneling,malicioso,zeek,15,0.667,0.417,0.848,0.000,0.333,,125.467,92.104
dos-http-simple,malicioso,snort,15,0.333,0.152,0.583,0.000,0.667,,19.067,28.853
dos-http-simple,malicioso,suricata,15,0.733,0.480,0.891,0.267,0.000,,15.067,16.272
dos-http-simple,malicioso,zeek,15,0.000,0.000,0.204,0.133,0.867,,0.000,0.000
icmp-flood,malicioso,snort,15,1.000,0.796,1.000,0.000,0.000,,7278.867,1071.237
icmp-flood,malicioso,suricata,15,1.000,0.796,1.000,0.000,0.000,,4.000,0.000
icmp-flood,malicioso,zeek,15,0.000,0.000,0.204,0.067,0.933,,0.000,0.000
idor-path-traversal,malicioso,snort,15,0.000,0.000,0.204,1.000,0.000,,0.000,0.000
idor-path-traversal,malicioso,suricata,15,0.000,0.000,0.204,1.000,0.000,,0.000,0.000
idor-path-traversal,malicioso,zeek,15,0.667,0.417,0.848,0.000,0.333,,359.067,302.905
port-scanner-tcp,malicioso,snort,15,0.000,0.000,0.204,0.000,1.000,,0.000,0.000
port-scanner-tcp,malicioso,suricata,15,0.000,0.000,0.204,0.000,1.000,,0.000,0.000
port-scanner-tcp,malicioso,zeek,15,0.733,0.480,0.891,0.000,0.267,,1502.000,971.527
sql-injection,malicioso,snort,15,0.000,0.000,0.204,1.000,0.000,,0.000,0.000
sql-injection,malicioso,suricata,15,1.000,0.796,1.000,0.000,0.000,,2.000,0.000
sql-injection,malicioso,zeek,15,0.733,0.480,0.891,0.000,0.267,,1.467,0.915
ssh-bruteforce,malicioso,snort,15,0.000,0.000,0.204,0.000,1.000,,0.000,0.000
ssh-bruteforce,malicioso,suricata,15,0.000,0.000,0.204,0.000,1.000,,0.000,0.000
ssh-bruteforce,malicioso,zeek,15,0.000,0.000,0.204,0.067,0.933,,0.000,0.000
syn-flood,malicioso,snort,15,1.000,0.796,1.000,0.000,0.000,,320.200,33.465
syn-flood,malicioso,suricata,15,1.000,0.796,1.000,0.000,0.000,,1.867,0.352
syn-flood,malicioso,zeek,15,0.333,0.152,0.583,0.267,0.400,,11.867,24.828
udp-flood,malicioso,snort,15,1.000,0.796,1.000,0.000,0.000,,18713.667,1521.784
udp-flood,malicioso,suricata,15,1.000,0.796,1.000,0.000,0.000,,29780.800,3450.161
udp-flood,malicioso,zeek,15,0.467,0.248,0.699,0.000,0.533,,4784.800,5925.622
xss-scanner,malicioso,snort,15,1.000,0.796,1.000,0.000,0.000,,2.000,0.000
xss-scanner,malicioso,suricata,15,1.000,0.796,1.000,0.000,0.000,,2.000,0.000
xss-scanner,malicioso,zeek,15,0.400,0.198,0.643,0.000,0.600,,0.800,1.014
